,FTSE100_Price,SNP500_Price_GBP,EURO50_Price_GBP,Nikkei_Price_GBP
2023-04-01,7870.57,3318.4891319999997,3823.5508010000003,16849.275316
2023-05-01,7446.14,3359.329371,3623.29636,17813.040396
2023-06-01,7531.53,3502.004022,3776.618765,18091.345704000003
2023-07-01,7699.41,3574.340944,3829.6770150000007,18155.156006
2023-08-01,7439.13,3555.6422079999998,3674.8884719999996,17676.420346000003
2023-09-01,7608.08,3514.48578,3616.5079579999997,17477.090332
2023-10-01,7321.72,3450.2392600000003,3533.580512,16734.754355
2023-11-01,7453.75,3617.6976000000004,3778.127387,17895.394016
2023-12-01,7733.24,3746.224482,3918.9140549999997,18629.503438999996
2024-01-01,7630.57,3818.856765,3962.29616,19464.191243999998
2024-02-01,7630.02,4036.2458400000005,4172.932235,20679.748320000002
2024-03-01,7952.62,4161.4452,4344.7990740000005,21117.254064
2024-04-01,8144.13,4031.0698449999995,4201.245514,19483.191318
2024-05-01,8275.38,4140.734346,4238.6113350000005,19193.91573
2024-06-01,8164.12,4318.147583999999,4145.724342,19455.08382
2024-07-01,8367.98,4295.2449400000005,4103.015479999999,20278.203852
2024-08-01,8376.63,4300.69176,4170.156977999999,20127.7482
2024-09-01,8236.95,4306.877551999999,4161.37449,19729.541865
2024-10-01,8110.1,4422.86484,4072.5886680000003,19927.529375000002
2024-11-01,8287.3,4734.815062000001,3988.1324399999994,20024.828523
2024-12-01,8173.02,4699.42237,4027.868416,20274.405228
